,Neighborhood,Room price,Number of reviews,Reviews per month,Number of calls regarding noise,Assault (class 3),Criminal mischief,Grand larceny,Harrassement (class 2),Petit larceny
Neighborhood,1.0,0.20980312210832847,-0.0379156062723454,-0.014855268070053728,-0.1289544569577754,-0.08154224740595085,-0.03493761681419969,0.0593055874395967,-0.035703193289451346,-0.006031346535053689
Room price,0.20980312210832847,1.0,0.011426673742989469,0.01067977063426522,-0.11887112871814196,-0.09535518267486356,-0.11319742083956584,0.054299800931879263,-0.04100851184818087,-0.05798101570152028
Number of reviews,-0.0379156062723454,0.011426673742989469,1.0,0.555399454159892,0.015057744913088247,0.028850030880548487,0.011378339657232062,0.023147090598206282,0.02552913913731328,-0.024404028146969067
Reviews per month,-0.014855268070053728,0.01067977063426522,0.555399454159892,1.0,0.02148872839497427,0.025719663776696385,0.004466229260409509,-0.04224246448082952,0.0030657697368996887,-0.0307126288685704
Number of calls regarding noise,-0.1289544569577754,-0.11887112871814196,0.015057744913088247,0.02148872839497427,1.0,0.38009845203764236,0.2096877833249638,0.25456263812187707,0.2721885043347118,0.22681531117228504
Assault (class 3),-0.08154224740595085,-0.09535518267486356,0.028850030880548487,0.025719663776696385,0.38009845203764236,1.0,0.4426441587601117,0.4652452170434829,0.6178224106048179,0.48215438746887196
Criminal mischief,-0.03493761681419969,-0.11319742083956584,0.011378339657232062,0.004466229260409509,0.2096877833249638,0.4426441587601117,1.0,0.2586989197306688,0.45460111838486583,0.2614152619433012
Grand larceny,0.0593055874395967,0.054299800931879263,0.023147090598206282,-0.04224246448082952,0.25456263812187707,0.4652452170434829,0.2586989197306688,1.0,0.31694512551167775,0.38268909967945547
Harrassement (class 2),-0.035703193289451346,-0.04100851184818087,0.02552913913731328,0.0030657697368996887,0.2721885043347118,0.6178224106048179,0.45460111838486583,0.31694512551167775,1.0,0.40002654064872156
Petit larceny,-0.006031346535053689,-0.05798101570152028,-0.024404028146969067,-0.0307126288685704,0.22681531117228504,0.48215438746887196,0.2614152619433012,0.38268909967945547,0.40002654064872156,1.0
